grieks,nederlands,streak,score_goed,score_fout,laatst_geoefend
θέλημα,"wil, plan, verlangen",1,16,6,2026-08-12
δοκέω,"menen, schijnen, lijken, bekend zijn met, besluiten",0,0,0,
ἔξω,"buiten, naar buiten, uit",0,0,0,
θρόνος,troon,0,9,4,2026-08-12
ἀγαπητός,"geliefd, (subst.) geliefde",0,0,0,
δοξάζω,"prijzen, eren",0,0,0,
κηρύσσω,"verkondigen, een boodschap brengen",1,15,0,2026-08-12
νύξ,nacht,0,0,0,
ἤδη,"al, (al)reeds, nu",0,0,0,
ἱμάτιον,"kleding, kleed, mantel",5,3,3,2026-08-12
προσκυνέω,"aanbidden, eerbewijzen (+dat.)",0,0,0,
ὑπάρχω,"(er) zijn, bestaan, bezitten",0,0,0,
ὧδε,"hier, hierheen",31,8,0,2026-08-12
ἀσπάζομαι,"groeten, respect betuigen (aan)",0,0,0,
συνάγω,(act.) verzamelen; (med./pas.) bijeen/erbij komen,0,0,0,
διδάσκαλος,"onderwijzer, leraar",17,9,1,2026-08-12
εὐθύς,"meteen, onmiddellijk",0,0,0,
λίθος,steen,0,0,0,
χαρά,"blijdschap, vreugde",5,16,1,2026-08-12
μέσος,(in het) midden,0,0,0,
θεωρέω,"aanschouwen, opmerken, inzien",0,0,0,
μηδέ,"en niet, noch, zelfs niet",17,14,3,2026-08-12
τοιοῦτος,"zodanig, zo'n",0,0,0,
ἀρχή,"begin, autoriteit, heerschappij",0,0,0,
τρίτος,"(adj.) derde; (adv.) ten derde, voor de derde keer; (subst.) eenderde (deel)",0,10,4,2026-08-14
ἐπερωτάω,"vragen (om), ondervragen",0,0,0,
δέχομαι,"ontvangen, nemen, verwelkomen",0,0,0,
συναγωγή,"synagoge, bijeenkomst, gemeente",9,6,5,2026-08-12
πολύς,"veel, vaak (comp. πλείων; superl. πλεῖστος)",0,0,0,
κράζω,"(uit)schreeuwen, (uit)roepen",0,0,0,
χρόνος,"tijd, periode",22,6,1,2026-08-12
δεξιός,"rechts, rechter-",0,0,0,
εὐαγγελίζω,"goed nieuws brengen, het evangelie verkondigen",0,0,0,
διό,"daarom, bijgevolg",22,7,4,2026-08-12
ἐλπίς,"hoop, verwachting",0,0,0,
ἔσχατος,"laatst, uiteindelijk, minst",0,0,0,
λοιπός,"(adj.) overgebleven, overig; (adv.) van nu af aan, nog, verder, tot slot",17,6,1,2026-08-12
ὅπως,"(+indic.) hoe; (+conj.) opdat, om te",0,0,0,
οὐχί,"niet, nee, geenszins",0,0,0,
ἐπαγγελία,belofte,2,15,2,2026-08-12
παιδίον,"kind, kindje",0,0,0,
πείθω,"(act.) overtuigen, verzekeren; (med./pas.) overtuigd zijn/worden, gehoor geven (aan)",0,0,0,
σπείρω,"zaaien, verstrooien",0,2,2,2026-08-12
σοφία,wijsheid,0,0,0,
κακός,"slecht, kwaad, schadelijk",0,0,0,
γλῶσσα,"tong, taal",2,3,3,2026-08-12
γραφή,"geschrift, de Schrift, schrifttekst",0,0,0,
μακάριος,"gelukkig, gezegend",0,0,0,
παραβολή,"parabel, gelijkenis, symbool",31,8,1,2026-08-12
τυφλός,(adj.) blind; (subst.) blinde,0,0,0,
φανερόω,"laten zien, bekend maken",0,0,0,
ἄχρι,"tot, binnen; (+οὗ) totdat; (+gen.) tot aan",22,12,5,2026-08-12
ἔτος,jaar,0,0,0,
παραλαμβάνω,"(aan)nemen, meenemen, ontvangen",0,0,0,
χρεία,"nood, noodzaak, taak; (+ἔχω) nodig hebben",31,10,5,2026-08-12
ἀποδίδωμι,"(act.) teruggeven, terugbetalen, opleveren; (med.) verkopen",0,0,0,
ἔμπροσθεν,"voor, vooraan, ten overstaan van (+gen.)",0,0,0,
οὐκέτι,"niet langer, niet meer, niet",31,10,0,2026-08-12
πρό,"(+gen.) voor, eerder dan",0,0,0,
κρατέω,"vasthouden, zekeren",0,0,0,
ἁμαρτωλός,"zondig, in overtreding; (subst.) zondaar, overtreder",0,8,6,2026-08-12
ἔρημος,"(adj.) onbevolkt, eenzaam, verlaten; (subst.) eenzame/verlaten plaats, woestijn",0,0,0,
κρίσις,"oordeel, rechtbank",0,0,0,
φόβος,"vrees, angst, ontzag, intimidatie",0,8,4,2026-08-12
ἀπαγγέλλω,"berichten, verklaren, verkondigen",0,0,0,
καθίζω,"doen zitten, (aan)stellen, gaan zitten, verblijven",0,0,0,
μικρός,"klein, laag, kort",17,9,5,2026-08-12
οὐαί,"ach(!), wee(!) [uitroep van pijn]",0,0,0,
προσφέρω,"brengen (naar), aanbieden; (med./pas.) behandelen",0,0,0,
σταυρόω,kruisigen,0,20,1,2026-08-12
σωτηρία,"redding, verlossing",0,0,0,
φυλακή,"plaats van bewaring, cel, wachtpost, wacht",0,0,0,
διώκω,"vervolgen, (na)jagen, (na)volgen",22,14,1,2026-08-12
θηρίον,"(wild) dier, beest",0,0,0,
θλῖψις,"verdrukking, tegenspoed",0,0,0,
ναός,tempel,0,8,1,2026-08-12
ὅμοιος,"gelijk (aan), lijkend (op) (+dat.)",0,0,0,
ποῦ,"waar, waarheen",0,0,0,
δεύτερος,"tweede; (adv.) de/een tweede keer, ten tweede",2,1,5,2026-08-12
ἐπιγινώσκω,"(goed) kennen, herkennen, leren kennen",0,0,0,
κατοικέω,"bewonen, verblijven (in)",0,0,0,
σπέρμα,"zaad, nageslacht, nakomeling",1,14,0,2026-08-12
ἁμαρτάνω,"zondigen, een misstap maken",0,0,0,
γενεά,"generatie, type mensen, (na)geslacht",0,0,0,
δέω,"(vast)binden, verbieden",17,2,5,2026-08-12
θαυμάζω,"bewonderen, verwonderd/verbaasd zijn (over)",0,0,0,
θεραπεύω,"zorgen voor, helpen, genezen",0,0,0,
καινός,"nieuw, onbekend",5,6,6,2026-08-12
ἀνάστασις,"opwekking, opstanding",0,0,0,
ἐγγίζω,"naderen, komen bij",0,0,0,
λύω,"losmaken, afschaffen, breken, vernietigen",31,8,1,2026-08-12
πότε,wanneer,0,0,0,
σεαυτοῦ,(pron. refl.) (van/aan) zichzelf [nom. ontbreekt],0,0,0,
φωνέω,"kraaien, (uit)roepen, (op)roepen",0,15,4,2026-08-12
χωρίς,"(adv.) apart, afgezonderd; (prep.) (+gen.) zonder, buiten, (nog) los van",0,0,0,
διέρχομαι,gaan/komen (door),0,0,0,
παρίστημι,"presenteren, (gaan) staan bij, bijstand verlenen",0,5,1,2026-08-12
εὐλογέω,"zegenen, prijzen, verheerlijken",0,0,0,
ἄξιος,"waardig, waard, geschikt",0,0,0,
ἐργάζομαι,"actief zijn, werken, handelen, uitvoeren",9,11,4,2026-08-12
ἑτοιμάζω,"gereedmaken, voorbereiden",0,0,0,
ὀλίγος,"klein, weinig, kort(e tijd)",0,0,0,
πάντοτε,"altijd, op elk moment",2,12,6,2026-08-12
σήμερον,"vandaag, heden",0,0,0,
τέλος,"doel, einde, belasting",0,0,0,
τέσσαρες,vier,5,2,3,2026-08-12
τιμή,"eer, waardering, prijs, waarde",0,0,0,
οἰκοδομέω,"(op)bouwen, oprichten",0,0,0,
ἐπιτίθημι,"leggen/plaatsen op, aanvallen",22,4,3,2026-08-12
ἱκανός,"waardig, geschikt, voldoende (groot/lang/veel)",0,0,0,
κλαίω,"weeklagen, huilen",0,0,0,
λογίζομαι,"(uit)rekenen, toekennen, inschatten",31,6,5,2026-08-12
μισέω,"haten, minachten, minder belangrijk achten",0,0,0,
πάσχω,"ondergaan, lijden, doorstaan",0,0,0,
δικαιόω,"rechtvaardigen, rechtvaardig maken, rechtzetten",0,12,4,2026-08-12
θύρα,"deur, ingang",0,0,0,
πειράζω,"beproeven, (uit)proberen, verleiden",0,0,0,
περισσεύω,"overvloedig maken/zijn/hebben, uitblinken (in)",17,14,2,2026-08-12
